Error rate,Insert speed 
0.1404,0.019208
0.1319,0.013
0.1283,0.013042
0.1357,0.013375
0.1302,0.013583999999999999
0.1353,0.014041
0.1383,0.014958
0.1311,0.02925
0.138,0.013459
0.1428,0.013375
0.1307,0.013416
0.1357,0.013458
0.1332,0.013458
0.1403,0.013417
0.1388,0.013708999999999999
0.1397,0.013416
0.1359,0.013375
0.1381,0.013459
0.1318,0.013334
0.1317,0.013333
0.13,0.013375
0.1351,0.0135
0.1469,0.013334
0.1359,0.013416
0.1366,0.013458
0.1342,0.013667
0.1263,0.014042
0.1317,0.013625
0.1275,0.013417
0.1378,0.013333
0.1328,0.013542
0.1431,0.013375
0.13,0.013542
0.1339,0.013333
0.1361,0.013459
0.1338,0.0135
0.1294,0.013375
0.1334,0.013459
0.128,0.013541000000000001
0.1332,0.013417
0.1293,0.013333
0.1268,0.013333
0.134,0.013417
0.1266,0.013583
0.1356,0.013583
0.1293,0.013375
0.1309,0.013458
0.1343,0.013375
0.129,0.013334
0.1395,0.013375

