Error rate,Insert speed 
0.0126,0.0875
0.0091,0.025
0.0123,0.02042
0.0121,0.02
0.0133,0.01959
0.0132,0.02042
0.0102,0.022920000000000003
0.0108,0.01959
0.0104,0.019579999999999997
0.0098,0.019579999999999997
0.0078,0.01959
0.0099,0.02125
0.0122,0.01959
0.0129,0.02375
0.0127,0.02041
0.0107,0.02042
0.013,0.02084
0.0155,0.02417
0.0109,0.020829999999999998
0.0109,0.07041
0.0122,0.020829999999999998
0.0109,0.019579999999999997
0.0105,0.02
0.0123,0.019579999999999997
0.0102,0.02
0.0127,0.02042
0.0126,0.02
0.0112,0.019170000000000003
0.0125,0.02
0.0133,0.02
0.0111,0.01959
0.0121,0.01959
0.0098,0.032909999999999995
0.0118,0.020829999999999998
0.0114,0.0275
0.0113,0.02
0.0127,0.02
0.0144,0.02417
0.0124,0.07375
0.0119,0.02375
0.0104,0.02375
0.0149,0.07125
0.0097,0.023329999999999997
0.0136,0.02084
0.0131,0.019579999999999997
0.0102,0.019579999999999997
0.0116,0.019579999999999997
0.0115,0.01959
0.0127,0.02
0.0122,0.019579999999999997

