Error rate,Insert speed 
0.01,3.04083
0.0088,6.6991700000000005
0.0091,3.18292
0.0087,3.64
0.0097,3.01792
0.0088,6.73916
0.0096,2.94042
0.0085,3.12791
0.0101,2.91208
0.0097,2.905
0.0083,2.91375
0.0094,3.00833
0.0087,2.9108400000000003
0.009,2.92167
0.0089,2.89958
0.0102,2.89584
0.0085,3.0295799999999997
0.0087,3.04708
0.0078,2.9175
0.0086,2.8875
0.0087,2.9075
0.0101,3.05208
0.0103,2.9225
0.0081,2.93125
0.0091,2.96083
0.009,2.89416
0.0081,3.3075
0.0098,6.71333
0.0093,2.8775
0.0095,2.98958
0.009,3.03667
0.0098,2.93125
0.0081,2.85833
0.0095,2.85
0.0091,2.9079200000000003
0.0096,2.9079200000000003
0.0089,2.88958
0.0092,2.86375
0.0089,2.88583
0.0097,2.905
0.008,2.84916
0.0081,3.0775
0.0107,2.88083
0.0088,2.9020799999999998
0.0089,2.94625
0.0088,2.94959
0.0085,2.89583
0.0081,2.86333
0.0086,2.97
0.0088,2.93416

